2.300000000000000000e+02 3.800000000000000000e+01
1.530000000000000000e+02 1.340000000000000000e+02
1.480000000000000000e+02 3.050000000000000000e+02
1.860000000000000000e+02 3.930000000000000000e+02
4.160000000000000000e+02 4.040000000000000000e+02
5.420000000000000000e+02 3.400000000000000000e+02
5.790000000000000000e+02 1.680000000000000000e+02
5.340000000000000000e+02 1.040000000000000000e+02
4.490000000000000000e+02 5.300000000000000000e+01
3.590000000000000000e+02 2.500000000000000000e+01
2.300000000000000000e+02 3.800000000000000000e+01


# Area under the polygon (in pixcels) = 133101.5

# Total area (in pixcels) = 270720

# Fraction of area under the polygon (in pixcels) = 49.2 %
